code,name,market,ticker,as_of,beta60,alpha60,er60,beta120,alpha120,er120,beta240,alpha240,er240
4442,開曼群島商竣邦國際股份有限公司,OTC,4442.TWO,2026-08-26,-0.0211,0.5371,0.0227,0.0115,0.0921,0.0234,-0.0318,0.091,-0.0016
4502,健信科技工業股份有限公司,OTC,4502.TWO,2026-08-26,0.0278,0.0114,0.0048,-0.0,0.0072,0.015,-0.0172,-0.126,0.006
4503,金雨企業股份有限公司,OTC,4503.TWO,2026-08-26,0.8202,-1.4254,-0.2847,0.6773,-1.1081,0.5075,0.6974,-1.1711,0.3786
4506,崇友實業(股)公司,OTC,4506.TWO,2026-08-26,0.0717,0.4224,-0.0112,0.0828,0.1767,0.0752,0.1139,-0.04,0.0744
4510,高鋒工業股份有限公司,OTC,4510.TWO,2026-08-26,0.8431,-0.2621,-0.293,0.7518,-0.1772,0.5617,0.8047,-0.448,0.4345
4513,福裕事業股份有限公司,OTC,4513.TWO,2026-08-26,0.415,0.8661,-0.1366,0.4519,-0.1572,0.3436,0.4941,-0.3461,0.2726
4523,永彰科技股份有限公司,OTC,4523.TWO,2026-08-26,0.31,-0.4273,-0.0983,0.3861,-0.6707,0.2958,0.454,-0.4198,0.2517
4527,(方方土)霖冷凍機械股份有限公司,OTC,4527.TWO,2026-08-26,0.1337,-0.0691,-0.0338,0.1161,0.0775,0.0994,0.1347,0.0418,0.0852
4528,江興鍛壓工業股份有限公司,OTC,4528.TWO,2026-08-26,0.1453,-0.0159,-0.0381,0.1113,-0.4459,0.0959,0.1241,-0.1276,0.0797
4529,淳紳股份有限公司,OTC,4529.TWO,2026-08-26,0.2207,-1.5008,-0.0656,-0.0416,0.2191,-0.0153,-0.0446,-0.0347,-0.0083
4530,天意能創股份有限公司,OTC,4530.TWO,2026-08-26,-0.2363,0.6513,0.1013,-0.1734,0.2204,-0.1111,-0.1395,0.0654,-0.0577
4533,協易機械工業股份有限公司,OTC,4533.TWO,2026-08-26,0.8229,-0.5634,-0.2856,0.6659,-1.1549,0.4992,0.6556,-0.1613,0.3568
4534,慶騰精密科技股份有限公司,OTC,4534.TWO,2026-08-26,1.1787,1.2389,-0.4156,1.0774,-0.2851,0.7985,1.0842,0.1516,0.5802
4535,至興精機股份有限公司,OTC,4535.TWO,2026-08-26,0.0219,0.3479,0.007,-0.0096,0.0441,0.008,0.0274,-0.0171,0.0293
4538,大詠城機械股份有限公司,OTC,4538.TWO,2026-08-26,0.0565,0.0784,-0.0056,0.0654,-0.0566,0.0626,0.0822,0.0358,0.0579
4541,晟田科技工業股份有限公司,OTC,4541.TWO,2026-08-26,0.5981,2.1331,-0.2035,0.5822,0.7535,0.4384,0.6782,0.0241,0.3685
4542,科嶠工業股份有限公司,OTC,4542.TWO,2026-08-26,1.457,1.2797,-0.5173,1.3344,0.9149,0.9854,1.251,1.2363,0.6671
4543,萬在工業股份有限公司,OTC,4543.TWO,2026-08-26,0.5842,-0.8361,-0.1984,0.587,-0.0341,0.4419,0.6261,0.0006,0.3414
4549,桓達科技股份有限公司,OTC,4549.TWO,2026-08-26,0.6133,-0.8415,-0.2091,0.5393,-0.1095,0.4072,0.599,-0.5217,0.3273
4550,長佳機電工程股份有限公司,OTC,4550.TWO,2026-08-26,0.0913,0.1482,-0.0184,0.1179,-0.0974,0.1007,0.1361,-0.0405,0.0859
4554,橙的電子股份有限公司,OTC,4554.TWO,2026-08-26,0.2823,0.5048,-0.0881,0.2453,0.4047,0.1934,0.2719,-0.0671,0.1567
4556,旭然國際股份有限公司,OTC,4556.TWO,2026-08-26,0.878,3.5761,-0.3058,0.7012,2.0765,0.5249,0.652,1.0657,0.3549
4558,寶緯工業股份有限公司,OTC,4558.TWO,2026-08-26,0.2634,-0.3833,-0.0812,0.089,-0.2258,0.0797,0.1516,-0.4928,0.094
4561,健椿工業股份有限公司,OTC,4561.TWO,2026-08-26,0.8356,-0.4467,-0.2903,0.8714,0.1152,0.6487,0.9604,-0.3837,0.5157
4563,百德機械股份有限公司,OTC,4563.TWO,2026-08-26,0.6004,-0.5594,-0.2043,0.623,-0.6445,0.468,0.6963,-0.6203,0.378
4568,科際精密股份有限公司,OTC,4568.TWO,2026-08-26,-0.0267,0.0767,0.0248,-0.0253,0.0577,-0.0034,0.0186,-0.0459,0.0247
